name,roomname,capacity,classroom,locate
Think Tank 1,1.308,40,think_tank,"Building 1, Level 3"
Think Tank 2,1.309,40,think_tank,"Building 1, Level 3"
Think Tank 3,1.31,40,think_tank,"Building 1, Level 3"
Think Tank 4,1.312,40,think_tank,"Building 1, Level 3"
Think Tank 5,1.313,40,think_tank,"Building 1, Level 3"
Think Tank 6,1.408,40,think_tank,"Building 1, Level 4"
Think Tank 7,1.409,40,think_tank,"Building 1, Level 4"
Think Tank 8,1.41,40,think_tank,"Building 1, Level 4"
Think Tank 9,1.415,40,think_tank,"Building 1, Level 4"
Think Tank 10,1.416,40,think_tank,"Building 1, Level 4"
Think Tank 11,1.503,40,think_tank,"Building 1, Level 5"
Think Tank 12,1.506,40,think_tank,"Building 1, Level 5"
Think Tank 13,1.508,40,think_tank,"Building 1, Level 5"
Think Tank 14,1.509,40,think_tank,"Building 1, Level 5"
Think Tank 15,1.51,40,think_tank,"Building 1, Level 5"
Think Tank 16,2.201,40,think_tank,"Building 2, Level 2"
Think Tank 17,2.202,40,think_tank,"Building 2, Level 2"
Think Tank 18,2.203,40,think_tank,"Building 2, Level 2"
Think Tank 19,2.304,40,think_tank,"Building 2, Level 3"
Think Tank 20,2.305,40,think_tank,"Building 2, Level 3"
Think Tank 21,2.31,40,think_tank,"Building 2, Level 3"
Think Tank 22,2.311,40,think_tank,"Building 2, Level 3"
Think Tank 23,2.413,40,think_tank,"Building 2, Level 4"
Think Tank 24,2.503,40,think_tank,"Building 2, Level 5"
Think Tank 25,2.504,40,think_tank,"Building 2, Level 5"
Think Tank 26,2.514,40,think_tank,"Building 2, Level 5"
Mini Think Tank 1,1.314-1,20,think_tank,"Building 1, Level 3"
Mini Think Tank 2,1.315-1,20,think_tank,"Building 1, Level 3"
Mini Think Tank 3,1.413-1,20,think_tank,"Building 1, Level 4"
Mini Think Tank 4,1.414-1,20,think_tank,"Building 1, Level 4"
Mini Think Tank 5,1.513-1,20,think_tank,"Building 1, Level 5"
Mini Think Tank 6,1.514-1,20,think_tank,"Building 1, Level 5"
Mini Think Tank 7,1.608-1,20,think_tank,"Building 1, Level 6"
Mini Think Tank 8,1.609-1,20,think_tank,"Building 1, Level 6"
Mini Think Tank 9,2.307-1,20,think_tank,"Building 2, Level 3"
Mini Think Tank 11,2.405-01,20,think_tank,"Building 2, Level 4"
Mini Think Tank 13,2.506-01,20,think_tank,"Building 2, Level 5"
Mini Think Tank 15,2.606-01,20,think_tank,"Building 2, Level 6"
Albert Hong Lecture Theatre 1 (LT 1),1.102,200,lecture,"Building 1, Level 1"
Lecture Theatre 2,"1.203, 1.318",200,lecture,"Building 1, Level 2, 3"
Lecture Theatre 3,2.403,200,lecture,"Building 2, Level 4"
Hokkien Foundation Lecture Theatre 4 (LT 4),2.404,100,lecture,"Building 2, Level 4"
Lecture Theatre 5,2.505,100,lecture,"Building 2, Level 5"
iTrust Lab 1,2.702,30,lab,"Building 2, Level 7"
iTrust Lab 2,2.703,30,lab,"Building 2, Level 7"
iTrust Lab 3,2.704,30,lab,"Building 2, Level 7"
iTrust Lab 4,2.705,30,lab,"Building 2, Level 7"
iTrust Lab 5,2.714,30,lab,"Building 2, Level 7"
iTrust Lab 6,2.717,30,lab,"Building 2, Level 7"
iTrust Lab 7,2.718,30,lab,"Building 2, Level 7"
iTrust Lab 8,2.719,30,lab,"Building 2, Level 7"
iTrust Lab 9,2.72,30,lab,"Building 2, Level 7"
Fabrication Lab,5.101-11,150,lab,"Building 5, Level 1"
O. Lab,2.415,45,lab,"Building 2, Level 4"
Composite Fabrication Lab,2.708 / 2.709,50,lab,"Building 2, Level 7"
BEATs LAB,2.712 / 2.713,40,lab,"Building 2, Level 7"
Bio Design Lab,3.508,35,lab,"Building 3, Level 5"
Characterisation Lab,2.615,30,lab,"Building 2, Level 6"
Chemical Synthesis Lab,3.505,30,lab,"Building 3, Level 5"
Cognition Lab,2.61,30,lab,"Building 2, Level 6"
Computer Lab,1.611,30,lab,"Building 1, Level 6"
Dares Lab,3.311,30,lab,"Building 3, Level 3"
